Filename,Line Number,Chinese Comment,English Translation"src/index.ts",15,"// 导入所有工具函数和 schema","// Import all tool functions and schemas"
"src/index.ts",58,"// 创建MCP服务器","// Create MCP server"
"src/index.ts",73,"// 设置全局 server 实例","// Set global server instance"
"src/index.ts",77,"// 监听 initialized 通知来启动 web 服务器","// Listen for initialized notification to start web server"
"src/index.ts",370,"// 创建连接","// Establish connection"
"src/models/taskModel.ts",18,"// 确保获取项目文件夹路径","// Ensure getting project data folder path"
"src/models/taskModel.ts",24,"// 数据文档路径（改为异步获取）","// Data file paths (changed to asynchronous acquisition)"
"src/models/taskModel.ts",29,"// 将exec转换为Promise形式","// Convert exec to Promise form"
"src/models/taskModel.ts",33,"// 确保数据目录存在","// Ensure data directory exists"
"src/models/taskModel.ts",52,"// 读取所有任务","// Read all tasks"
"src/models/taskModel.ts",60,"// 将日期字符串转换回 Date 对象","// Convert date strings back to Date objects"
"src/models/taskModel.ts",70,"// 写入所有任务","// Write all tasks"
"src/models/taskModel.ts",78,"// 获取所有任务","// Get all tasks"
"src/models/taskModel.ts",84,"// 根据ID获取任务","// Get task by ID"
"src/models/taskModel.ts",91,"// 创建新任务","// Create new task"
"src/models/taskModel.ts",124,"// 更新任务","// Update task"
"src/models/taskModel.ts",138,"// Check if task is completed，已完成的任务不允许更新（除非是明确允许的字段）","// Check if task is completed, completed tasks cannot be updated (unless explicitly allowed fields)"
"src/models/taskModel.ts",141,"// 仅允许更新 summary 字段（任务摘要）和 relatedFiles 字段","// Only allow updating summary field (task summary) and relatedFiles field"
"src/models/taskModel.ts",204,"// 获取任务并检查是否存在","// Get task and check if it exists"
"src/models/taskModel.ts",212,"// 检查任务是否已完成","// Check if task is completed"
"src/models/taskModel.ts",218,"// 构建更新对象，只包含实际需要更新的字段","// Build update object, only including fields that actually need updating"
"src/models/taskModel.ts",252,"// 如果没有要更新的内容，提前返回","// If there is no content to update, return early"
"src/models/taskModel.ts",258,"// 运行更新","// Execute update"
"src/models/taskModel.ts",279,"// 获取任务并检查是否存在","// Get task and check if it exists"
"src/models/taskModel.ts",287,"// 检查任务是否已完成","// Check if task is completed"
"src/models/taskModel.ts",293,"// 运行更新","// Execute update"
"src/models/taskModel.ts",368,"// 创建新任务的列表","// Create list of new tasks"
